Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Darwin-Melbourne,Darwin,Melbourne,All Airlines,Mar-10,39,39,0,29,29,10,10,2010,3
Darwin-Perth,Darwin,Perth,All Airlines,Mar-10,61,60,1,53,52,7,8,2010,3
Dubbo-Sydney,Dubbo,Sydney,All Airlines,Mar-10,293,293,0,248,230,45,63,2010,3
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Mar-10,91,90,1,79,78,11,12,2010,3
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Mar-10,511,493,18,419,402,74,91,2010,3
Gold Coast-Newcastle,Gold Coast,Newcastle,All Airlines,Mar-10,42,42,0,37,37,5,5,2010,3
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Mar-10,689,668,21,572,561,96,107,2010,3
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,Mar-10,61,57,4,51,51,6,6,2010,3
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,Mar-10,62,58,4,47,48,11,10,2010,3
Hobart-Melbourne,Hobart,Melbourne,All Airlines,Mar-10,401,392,9,323,318,69,74,2010,3
Hobart-Sydney,Hobart,Sydney,All Airlines,Mar-10,156,155,1,125,126,30,29,2010,3
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,Mar-10,117,113,4,88,86,25,27,2010,3
Karratha-Perth,Karratha,Perth,All Airlines,Mar-10,288,285,3,240,223,45,62,2010,3
Launceston-Melbourne,Launceston,Melbourne,All Airlines,Mar-10,321,318,3,256,226,62,92,2010,3
Launceston-Sydney,Launceston,Sydney,All Airlines,Mar-10,61,61,0,47,51,14,10,2010,3
Mackay-Brisbane,Mackay,Brisbane,All Airlines,Mar-10,293,288,5,256,243,32,45,2010,3
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,Mar-10,695,690,5,590,594,100,96,2010,3
Melbourne-Alice Springs,Melbourne,Alice Springs,All Airlines,Mar-10,44,44,0,38,39,6,5,2010,3
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,Mar-10,763,751,12,650,649,101,102,2010,3
Melbourne-Cairns,Melbourne,Cairns,All Airlines,Mar-10,92,91,1,78,74,13,17,2010,3
Melbourne-Canberra,Melbourne,Canberra,All Airlines,Mar-10,513,509,4,454,452,55,57,2010,3
Melbourne-Darwin,Melbourne,Darwin,All Airlines,Mar-10,39,39,0,31,31,8,8,2010,3
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,Mar-10,507,492,15,404,405,88,87,2010,3
Melbourne-Hobart,Melbourne,Hobart,All Airlines,Mar-10,402,394,8,314,313,80,81,2010,3
Melbourne-Launceston,Melbourne,Launceston,All Airlines,Mar-10,321,318,3,248,240,70,78,2010,3
Melbourne-Mildura,Melbourne,Mildura,All Airlines,Mar-10,207,206,1,180,167,26,39,2010,3
Melbourne-Newcastle,Melbourne,Newcastle,All Airlines,Mar-10,114,113,1,94,99,19,14,2010,3
Melbourne-Perth,Melbourne,Perth,All Airlines,Mar-10,416,415,1,333,356,82,59,2010,3
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,All Airlines,Mar-10,106,104,2,82,76,22,28,2010,3
Melbourne-Sydney,Melbourne,Sydney,All Airlines,Mar-10,2135,2044,91,1650,1628,394,416,2010,3
Mildura-Melbourne,Mildura,Melbourne,All Airlines,Mar-10,207,206,1,184,175,22,31,2010,3
Newcastle-Brisbane,Newcastle,Brisbane,All Airlines,Mar-10,229,227,2,189,189,38,38,2010,3
Newcastle-Gold Coast,Newcastle,Gold Coast,All Airlines,Mar-10,42,42,0,36,36,6,6,2010,3
Newcastle-Melbourne,Newcastle,Melbourne,All Airlines,Mar-10,113,112,1,101,103,11,9,2010,3
Newman-Perth,Newman,Perth,All Airlines,Mar-10,141,140,1,127,126,13,14,2010,3
Perth-Adelaide,Perth,Adelaide,All Airlines,Mar-10,212,210,2,190,177,20,33,2010,3
Perth-Brisbane,Perth,Brisbane,All Airlines,Mar-10,186,186,0,160,145,26,41,2010,3
Perth-Broome,Perth,Broome,All Airlines,Mar-10,148,143,5,121,117,22,26,2010,3
Perth-Darwin,Perth,Darwin,All Airlines,Mar-10,61,60,1,50,51,10,9,2010,3
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,Mar-10,117,113,4,95,91,18,22,2010,3
Perth-Karratha,Perth,Karratha,All Airlines,Mar-10,287,284,3,242,246,42,38,2010,3
Perth-Melbourne,Perth,Melbourne,All Airlines,Mar-10,417,414,3,344,317,70,97,2010,3
Perth-Newman,Perth,Newman,All Airlines,Mar-10,139,138,1,133,128,5,10,2010,3
Perth-Port Hedland,Perth,Port Hedland,All Airlines,Mar-10,164,163,1,149,149,14,14,2010,3
Perth-Sydney,Perth,Sydney,All Airlines,Mar-10,386,382,4,329,333,53,49,2010,3
Port Hedland-Perth,Port Hedland,Perth,All Airlines,Mar-10,161,160,1,136,134,24,26,2010,3
Port Macquarie-Sydney,Port Macquarie,Sydney,All Airlines,Mar-10,194,193,1,148,148,45,45,2010,3
Proserpine-Brisbane,Proserpine,Brisbane,All Airlines,Mar-10,62,58,4,48,49,10,9,2010,3
Rockhampton-Brisbane,Rockhampton,Brisbane,All Airlines,Mar-10,342,334,8,308,307,26,27,2010,3
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,All Airlines,Mar-10,105,101,4,69,79,32,22,2010,3
Sunshine Coast-Sydney,Sunshine Coast,Sydney,All Airlines,Mar-10,119,115,4,90,93,25,22,2010,3
Sydney-Adelaide,Sydney,Adelaide,All Airlines,Mar-10,546,546,0,481,483,65,63,2010,3
Sydney-Albury,Sydney,Albury,All Airlines,Mar-10,289,287,2,236,231,51,56,2010,3
Sydney-Ballina,Sydney,Ballina,All Airlines,Mar-10,153,153,0,137,128,16,25,2010,3
Sydney-Brisbane,Sydney,Brisbane,All Airlines,Mar-10,1238,1197,41,985,1020,212,177,2010,3
Sydney-Cairns,Sydney,Cairns,All Airlines,Mar-10,209,209,0,172,184,37,25,2010,3
Sydney-Canberra,Sydney,Canberra,All Airlines,Mar-10,815,807,8,667,662,140,145,2010,3
Sydney-Coffs Harbour,Sydney,Coffs Harbour,All Airlines,Mar-10,209,208,1,170,154,38,54,2010,3
Sydney-Dubbo,Sydney,Dubbo,All Airlines,Mar-10,293,293,0,260,253,33,40,2010,3
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Mar-10,687,669,18,560,577,109,92,2010,3
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,Mar-10,61,57,4,51,51,6,6,2010,3
Sydney-Hobart,Sydney,Hobart,All Airlines,Mar-10,158,157,1,123,127,34,30,2010,3
Sydney-Launceston,Sydney,Launceston,All Airlines,Mar-10,61,61,0,48,50,13,11,2010,3
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Mar-10,2136,2047,89,1710,1627,337,420,2010,3
Sydney-Perth,Sydney,Perth,All Airlines,Mar-10,388,388,0,329,333,59,55,2010,3
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,Mar-10,194,194,0,160,148,34,46,2010,3
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,Mar-10,117,115,2,96,97,19,18,2010,3
Sydney-Townsville,Sydney,Townsville,All Airlines,Mar-10,53,52,1,44,45,8,7,2010,3
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,Mar-10,267,267,0,225,210,42,57,2010,3
Townsville-Brisbane,Townsville,Brisbane,All Airlines,Mar-10,326,323,3,301,298,22,25,2010,3
Townsville-Cairns,Townsville,Cairns,All Airlines,Mar-10,213,210,3,184,164,26,46,2010,3
Townsville-Sydney,Townsville,Sydney,All Airlines,Mar-10,53,52,1,46,48,6,4,2010,3
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,Mar-10,267,267,0,232,212,35,55,2010,3
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,Apr-10,43,43,0,35,39,8,4,2010,4
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Apr-10,253,252,1,230,222,22,30,2010,4
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Apr-10,78,78,0,70,73,8,5,2010,4
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Apr-10,89,89,0,78,80,11,9,2010,4
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Apr-10,732,730,2,620,622,110,108,2010,4
Adelaide-Perth,Adelaide,Perth,All Airlines,Apr-10,201,200,1,173,180,27,20,2010,4
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Apr-10,541,538,3,479,478,59,60,2010,4
Albury-Sydney,Albury,Sydney,All Airlines,Apr-10,267,267,0,237,229,30,38,2010,4
Alice Springs-Adelaide,Alice Springs,Adelaide,All Airlines,Apr-10,43,43,0,38,39,5,4,2010,4
Alice Springs-Melbourne,Alice Springs,Melbourne,All Airlines,Apr-10,43,43,0,36,38,7,5,2010,4
Ballina-Sydney,Ballina,Sydney,All Airlines,Apr-10,150,150,0,128,125,22,25,2010,4
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Apr-10,252,252,0,224,225,28,27,2010,4
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Apr-10,352,352,0,327,323,25,29,2010,4
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Apr-10,268,268,0,240,242,28,26,2010,4
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Apr-10,60,60,0,55,56,5,4,2010,4
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,Apr-10,59,59,0,52,53,7,6,2010,4
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Apr-10,329,329,0,293,287,36,42,2010,4
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Apr-10,846,843,3,748,776,95,67,2010,4
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,Apr-10,240,240,0,201,199,39,41,2010,4
Brisbane-Perth,Brisbane,Perth,All Airlines,Apr-10,180,180,0,151,153,29,27,2010,4
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,Apr-10,58,58,0,51,49,7,9,2010,4
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Apr-10,400,396,4,343,347,53,49,2010,4
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Apr-10,1238,1213,25,1026,988,187,225,2010,4
Brisbane-Townsville,Brisbane,Townsville,All Airlines,Apr-10,326,324,2,290,297,34,27,2010,4
Broome-Perth,Broome,Perth,All Airlines,Apr-10,164,164,0,140,148,24,16,2010,4
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Apr-10,352,352,0,324,332,28,20,2010,4
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Apr-10,120,120,0,104,109,16,11,2010,4
Cairns-Sydney,Cairns,Sydney,All Airlines,Apr-10,247,245,2,222,228,23,17,2010,4
Cairns-Townsville,Cairns,Townsville,All Airlines,Apr-10,190,185,5,158,147,27,38,2010,4
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Apr-10,82,82,0,76,78,6,4,2010,4
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Apr-10,268,268,0,251,248,17,20,2010,4
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Apr-10,465,462,3,425,418,37,44,2010,4
Canberra-Sydney,Canberra,Sydney,All Airlines,Apr-10,775,765,10,705,691,60,74,2010,4
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,Apr-10,202,201,1,172,169,29,32,2010,4
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Apr-10,60,60,0,53,47,7,13,2010,4
Darwin-Melbourne,Darwin,Melbourne,All Airlines,Apr-10,39,39,0,38,33,1,6,2010,4
Darwin-Perth,Darwin,Perth,All Airlines,Apr-10,56,56,0,52,52,4,4,2010,4
Dubbo-Sydney,Dubbo,Sydney,All Airlines,Apr-10,262,262,0,225,218,37,44,2010,4
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Apr-10,89,88,1,76,77,12,11,2010,4
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Apr-10,465,457,8,388,396,69,61,2010,4
Gold Coast-Newcastle,Gold Coast,Newcastle,All Airlines,Apr-10,42,42,0,39,40,3,2,2010,4
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Apr-10,697,686,11,587,594,99,92,2010,4
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,Apr-10,59,59,0,50,51,9,8,2010,4
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,Apr-10,60,59,1,48,50,11,9,2010,4
Hobart-Melbourne,Hobart,Melbourne,All Airlines,Apr-10,366,365,1,304,315,61,50,2010,4
Hobart-Sydney,Hobart,Sydney,All Airlines,Apr-10,178,177,1,143,152,34,25,2010,4
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,Apr-10,97,95,2,79,68,16,27,2010,4
Karratha-Perth,Karratha,Perth,All Airlines,Apr-10,296,290,6,257,255,33,35,2010,4
Launceston-Melbourne,Launceston,Melbourne,All Airlines,Apr-10,325,325,0,251,241,74,84,2010,4
Launceston-Sydney,Launceston,Sydney,All Airlines,Apr-10,59,59,0,51,54,8,5,2010,4
Mackay-Brisbane,Mackay,Brisbane,All Airlines,Apr-10,328,327,1,295,293,32,34,2010,4
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,Apr-10,731,729,2,660,646,69,83,2010,4
Melbourne-Alice Springs,Melbourne,Alice Springs,All Airlines,Apr-10,43,43,0,37,38,6,5,2010,4
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,Apr-10,845,841,4,757,764,84,77,2010,4
Melbourne-Cairns,Melbourne,Cairns,All Airlines,Apr-10,120,120,0,105,110,15,10,2010,4
Melbourne-Canberra,Melbourne,Canberra,All Airlines,Apr-10,462,459,3,406,411,53,48,2010,4
Melbourne-Darwin,Melbourne,Darwin,All Airlines,Apr-10,41,41,0,38,40,3,1,2010,4
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,Apr-10,464,458,6,401,399,57,59,2010,4
Melbourne-Hobart,Melbourne,Hobart,All Airlines,Apr-10,363,363,0,311,309,52,54,2010,4
Melbourne-Launceston,Melbourne,Launceston,All Airlines,Apr-10,324,324,0,250,241,74,83,2010,4
Melbourne-Mildura,Melbourne,Mildura,All Airlines,Apr-10,195,194,1,161,155,33,39,2010,4
Melbourne-Newcastle,Melbourne,Newcastle,All Airlines,Apr-10,116,116,0,102,102,14,14,2010,4
Melbourne-Perth,Melbourne,Perth,All Airlines,Apr-10,403,401,2,326,334,75,67,2010,4
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,All Airlines,Apr-10,122,121,1,104,102,17,19,2010,4
Melbourne-Sydney,Melbourne,Sydney,All Airlines,Apr-10,2059,1999,60,1703,1744,296,255,2010,4
Mildura-Melbourne,Mildura,Melbourne,All Airlines,Apr-10,197,196,1,176,168,20,28,2010,4
Newcastle-Brisbane,Newcastle,Brisbane,All Airlines,Apr-10,240,240,0,200,202,40,38,2010,4
Newcastle-Gold Coast,Newcastle,Gold Coast,All Airlines,Apr-10,42,42,0,38,40,4,2,2010,4
Newcastle-Melbourne,Newcastle,Melbourne,All Airlines,Apr-10,118,118,0,105,107,13,11,2010,4
Newman-Perth,Newman,Perth,All Airlines,Apr-10,127,124,3,110,111,14,13,2010,4
Perth-Adelaide,Perth,Adelaide,All Airlines,Apr-10,201,200,1,180,186,20,14,2010,4
Perth-Brisbane,Perth,Brisbane,All Airlines,Apr-10,180,179,1,152,150,27,29,2010,4
Perth-Broome,Perth,Broome,All Airlines,Apr-10,163,163,0,149,144,14,19,2010,4
Perth-Darwin,Perth,Darwin,All Airlines,Apr-10,56,56,0,51,51,5,5,2010,4
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,Apr-10,98,96,2,84,84,12,12,2010,4
Perth-Karratha,Perth,Karratha,All Airlines,Apr-10,295,291,4,259,251,32,40,2010,4
Perth-Melbourne,Perth,Melbourne,All Airlines,Apr-10,401,401,0,339,349,62,52,2010,4
Perth-Newman,Perth,Newman,All Airlines,Apr-10,125,124,1,109,104,15,20,2010,4
Perth-Port Hedland,Perth,Port Hedland,All Airlines,Apr-10,154,151,3,132,134,19,17,2010,4
Perth-Sydney,Perth,Sydney,All Airlines,Apr-10,380,379,1,315,330,64,49,2010,4
Port Hedland-Perth,Port Hedland,Perth,All Airlines,Apr-10,153,152,1,127,128,25,24,2010,4
Port Macquarie-Sydney,Port Macquarie,Sydney,All Airlines,Apr-10,189,189,0,168,162,21,27,2010,4
Proserpine-Brisbane,Proserpine,Brisbane,All Airlines,Apr-10,59,59,0,49,50,10,9,2010,4
Rockhampton-Brisbane,Rockhampton,Brisbane,All Airlines,Apr-10,379,375,4,331,336,44,39,2010,4
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,All Airlines,Apr-10,122,121,1,103,106,18,15,2010,4
Sunshine Coast-Sydney,Sunshine Coast,Sydney,All Airlines,Apr-10,162,160,2,139,139,21,21,2010,4
Sydney-Adelaide,Sydney,Adelaide,All Airlines,Apr-10,536,535,1,465,485,70,50,2010,4
Sydney-Albury,Sydney,Albury,All Airlines,Apr-10,267,267,0,238,224,29,43,2010,4
Sydney-Ballina,Sydney,Ballina,All Airlines,Apr-10,148,148,0,133,128,15,20,2010,4
Sydney-Brisbane,Sydney,Brisbane,All Airlines,Apr-10,1237,1209,28,1005,1046,204,163,2010,4
Sydney-Cairns,Sydney,Cairns,All Airlines,Apr-10,247,246,1,204,215,42,31,2010,4
Sydney-Canberra,Sydney,Canberra,All Airlines,Apr-10,782,775,7,691,675,84,100,2010,4
Sydney-Coffs Harbour,Sydney,Coffs Harbour,All Airlines,Apr-10,202,201,1,166,170,35,31,2010,4
Sydney-Dubbo,Sydney,Dubbo,All Airlines,Apr-10,262,262,0,235,227,27,35,2010,4
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Apr-10,702,691,11,599,591,92,100,2010,4
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,Apr-10,59,59,0,51,49,8,10,2010,4
Sydney-Hobart,Sydney,Hobart,All Airlines,Apr-10,178,177,1,158,157,19,20,2010,4
Sydney-Launceston,Sydney,Launceston,All Airlines,Apr-10,59,59,0,50,51,9,8,2010,4
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Apr-10,2057,1993,64,1745,1671,248,322,2010,4
Sydney-Perth,Sydney,Perth,All Airlines,Apr-10,381,381,0,321,290,60,91,2010,4
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,Apr-10,188,188,0,170,167,18,21,2010,4
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,Apr-10,161,159,2,136,138,23,21,2010,4
Sydney-Townsville,Sydney,Townsville,All Airlines,Apr-10,51,50,1,41,41,9,9,2010,4
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,Apr-10,232,232,0,211,190,21,42,2010,4
Townsville-Brisbane,Townsville,Brisbane,All Airlines,Apr-10,326,324,2,291,282,33,42,2010,4
Townsville-Cairns,Townsville,Cairns,All Airlines,Apr-10,191,185,6,162,142,23,43,2010,4
Townsville-Sydney,Townsville,Sydney,All Airlines,Apr-10,51,50,1,42,37,8,13,2010,4
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,Apr-10,233,233,0,203,196,30,37,2010,4
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,May-10,256,254,2,232,230,22,24,2010,5
Adelaide-Canberra,Adelaide,Canberra,All Airlines,May-10,78,78,0,70,71,8,7,2010,5
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,May-10,92,91,1,79,81,12,10,2010,5
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,May-10,756,755,1,673,659,82,96,2010,5
Adelaide-Perth,Adelaide,Perth,All Airlines,May-10,207,206,1,174,180,32,26,2010,5
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,May-10,361,360,1,338,327,22,33,2010,5
Adelaide-Sydney,Adelaide,Sydney,All Airlines,May-10,530,527,3,485,456,42,71,2010,5
Albury-Sydney,Albury,Sydney,All Airlines,May-10,288,287,1,243,231,44,56,2010,5
Alice Springs-Melbourne,Alice Springs,Melbourne,All Airlines,May-10,44,44,0,41,40,3,4,2010,5
Ballina-Sydney,Ballina,Sydney,All Airlines,May-10,139,139,0,121,113,18,26,2010,5
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,May-10,256,254,2,226,229,28,25,2010,5
Brisbane-Cairns,Brisbane,Cairns,All Airlines,May-10,367,366,1,337,329,29,37,2010,5
Brisbane-Canberra,Brisbane,Canberra,All Airlines,May-10,279,277,2,248,248,29,29,2010,5
Brisbane-Darwin,Brisbane,Darwin,All Airlines,May-10,62,62,0,53,48,9,14,2010,5
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,May-10,54,54,0,48,50,6,4,2010,5
Brisbane-Mackay,Brisbane,Mackay,All Airlines,May-10,347,345,2,309,298,36,47,2010,5
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,May-10,854,850,4,772,789,78,61,2010,5
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,May-10,239,237,2,218,201,19,36,2010,5
Brisbane-Perth,Brisbane,Perth,All Airlines,May-10,186,186,0,155,145,31,41,2010,5
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,May-10,62,62,0,52,49,10,13,2010,5
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,May-10,399,392,7,339,340,53,52,2010,5
Brisbane-Sydney,Brisbane,Sydney,All Airlines,May-10,1241,1216,25,998,947,218,269,2010,5
Brisbane-Townsville,Brisbane,Townsville,All Airlines,May-10,331,331,0,301,297,30,34,2010,5
Broome-Perth,Broome,Perth,All Airlines,May-10,169,165,4,139,147,26,18,2010,5
Cairns-Brisbane,Cairns,Brisbane,All Airlines,May-10,366,366,0,337,338,29,28,2010,5
Cairns-Melbourne,Cairns,Melbourne,All Airlines,May-10,107,107,0,94,95,13,12,2010,5
Cairns-Sydney,Cairns,Sydney,All Airlines,May-10,246,245,1,222,217,23,28,2010,5
Cairns-Townsville,Cairns,Townsville,All Airlines,May-10,196,195,1,178,173,17,22,2010,5
Canberra-Adelaide,Canberra,Adelaide,All Airlines,May-10,83,83,0,74,76,9,7,2010,5
Canberra-Brisbane,Canberra,Brisbane,All Airlines,May-10,279,277,2,257,249,20,28,2010,5
Canberra-Melbourne,Canberra,Melbourne,All Airlines,May-10,480,478,2,424,412,54,66,2010,5
Canberra-Sydney,Canberra,Sydney,All Airlines,May-10,786,774,12,679,640,95,134,2010,5
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,May-10,207,207,0,185,181,22,26,2010,5
Darwin-Brisbane,Darwin,Brisbane,All Airlines,May-10,62,62,0,41,51,21,11,2010,5
Darwin-Melbourne,Darwin,Melbourne,All Airlines,May-10,41,41,0,39,36,2,5,2010,5
Darwin-Perth,Darwin,Perth,All Airlines,May-10,58,58,0,55,55,3,3,2010,5
Dubbo-Sydney,Dubbo,Sydney,All Airlines,May-10,280,280,0,248,225,32,55,2010,5
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,May-10,92,91,1,83,83,8,8,2010,5
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,May-10,412,411,1,340,355,71,56,2010,5
Gold Coast-Newcastle,Gold Coast,Newcastle,All Airlines,May-10,45,45,0,41,42,4,3,2010,5
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,May-10,708,699,9,580,591,119,108,2010,5
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,May-10,54,54,0,51,51,3,3,2010,5
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,May-10,62,62,0,55,54,7,8,2010,5
Hobart-Melbourne,Hobart,Melbourne,All Airlines,May-10,359,359,0,293,303,66,56,2010,5
Hobart-Sydney,Hobart,Sydney,All Airlines,May-10,173,172,1,143,145,29,27,2010,5
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,May-10,101,101,0,87,77,14,24,2010,5
Karratha-Perth,Karratha,Perth,All Airlines,May-10,297,295,2,258,262,37,33,2010,5
Launceston-Melbourne,Launceston,Melbourne,All Airlines,May-10,314,312,2,262,250,50,62,2010,5
Launceston-Sydney,Launceston,Sydney,All Airlines,May-10,62,62,0,56,56,6,6,2010,5
Mackay-Brisbane,Mackay,Brisbane,All Airlines,May-10,348,346,2,312,309,34,37,2010,5
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,May-10,756,753,3,673,665,80,88,2010,5
Melbourne-Alice Springs,Melbourne,Alice Springs,All Airlines,May-10,44,44,0,38,39,6,5,2010,5
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,May-10,856,851,5,780,775,71,76,2010,5
Melbourne-Cairns,Melbourne,Cairns,All Airlines,May-10,107,107,0,100,101,7,6,2010,5
Melbourne-Canberra,Melbourne,Canberra,All Airlines,May-10,476,475,1,431,420,44,55,2010,5
Melbourne-Darwin,Melbourne,Darwin,All Airlines,May-10,40,40,0,38,38,2,2,2010,5
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,May-10,412,411,1,369,348,42,63,2010,5
Melbourne-Hobart,Melbourne,Hobart,All Airlines,May-10,360,359,1,296,295,63,64,2010,5
Melbourne-Launceston,Melbourne,Launceston,All Airlines,May-10,313,312,1,260,245,52,67,2010,5
Melbourne-Mildura,Melbourne,Mildura,All Airlines,May-10,210,210,0,185,173,25,37,2010,5
Melbourne-Newcastle,Melbourne,Newcastle,All Airlines,May-10,107,107,0,91,90,16,17,2010,5
Melbourne-Perth,Melbourne,Perth,All Airlines,May-10,395,393,2,349,363,44,30,2010,5
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,All Airlines,May-10,116,116,0,105,100,11,16,2010,5
Melbourne-Sydney,Melbourne,Sydney,All Airlines,May-10,2115,2055,60,1757,1677,298,378,2010,5
Mildura-Melbourne,Mildura,Melbourne,All Airlines,May-10,209,209,0,187,178,22,31,2010,5
Newcastle-Brisbane,Newcastle,Brisbane,All Airlines,May-10,239,237,2,202,203,35,34,2010,5
Newcastle-Gold Coast,Newcastle,Gold Coast,All Airlines,May-10,45,45,0,41,41,4,4,2010,5
Newcastle-Melbourne,Newcastle,Melbourne,All Airlines,May-10,107,106,1,93,90,13,16,2010,5
Newman-Perth,Newman,Perth,All Airlines,May-10,129,126,3,115,115,11,11,2010,5
Perth-Adelaide,Perth,Adelaide,All Airlines,May-10,207,206,1,186,190,20,16,2010,5
Perth-Brisbane,Perth,Brisbane,All Airlines,May-10,185,185,0,165,166,20,19,2010,5
Perth-Broome,Perth,Broome,All Airlines,May-10,169,168,1,146,138,22,30,2010,5
Perth-Darwin,Perth,Darwin,All Airlines,May-10,58,58,0,56,56,2,2,2010,5
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,May-10,100,100,0,88,90,12,10,2010,5
Perth-Karratha,Perth,Karratha,All Airlines,May-10,301,295,6,263,261,32,34,2010,5
Perth-Melbourne,Perth,Melbourne,All Airlines,May-10,396,394,2,359,356,35,38,2010,5
Perth-Newman,Perth,Newman,All Airlines,May-10,130,128,2,116,114,12,14,2010,5
Perth-Port Hedland,Perth,Port Hedland,All Airlines,May-10,161,160,1,155,152,5,8,2010,5
Perth-Sydney,Perth,Sydney,All Airlines,May-10,386,384,2,339,337,45,47,2010,5
Port Hedland-Perth,Port Hedland,Perth,All Airlines,May-10,161,161,0,143,144,18,17,2010,5
